,inc_angle,id,is_iceberg,fake,train,cnn_predict,med,mea,cnt,knn_predict
0,0.0,f9209504,0.0,False,True,0.0783279687166214,0.0,0.0005889320956136947,133.0,0.06732960721044493
1,0.0,551856d8,0.0,False,True,0.08903408795595169,0.0,0.0006694292327515164,133.0,0.0667943012484784
2,0.0,89842932,0.0,False,True,0.03847812861204147,0.0,0.00028930923768452236,133.0,0.06932209921567392
3,0.0,f76458ab,0.0,False,True,0.01978706382215023,0.0,0.00014877491595601677,133.0,0.07025665245516848
4,0.0,9847a428,0.0,False,True,0.006815711967647076,0.0,5.1245954643962976e-05,133.0,0.07090522004789364
5,0.0,5a962d7c,0.0,False,True,0.022651001811027527,0.0,0.00017030828429344006,133.0,0.07011345555572461
6,0.0,ba2b4c39,0.0,False,True,0.028906913474202156,0.0,0.00021734521409174553,133.0,0.06980065997256588
7,0.0,1b4308b4,0.0,False,True,0.596248984336853,0.0,0.004483075070201903,133.0,0.04143355642943334
8,0.0,94913c6b,0.0,False,True,0.003830199595540762,0.0,2.8798493199554603e-05,133.0,0.07105449566649895
9,0.0,43637b8a,0.0,False,True,0.0070632267743349075,0.0,5.310696822808201e-05,133.0,0.07089284430755924
10,0.0,8d5b55f1,0.0,False,True,0.010257301852107048,0.0,7.712257031659435e-05,133.0,0.07073314055367064
11,0.0,9b9349e8,0.0,False,True,0.08635400235652924,0.0,0.0006492782132069868,133.0,0.06692830552844953
12,0.0,2a73c7e8,0.0,False,True,0.003962310496717691,0.0,2.979180824599768e-05,133.0,0.07104789012144011
13,0.0,70446435,0.0,False,True,0.007490870077162981,0.0,5.632233140724046e-05,133.0,0.07087146214241784
14,0.0,b623e705,0.0,False,True,1.936319222295424e-06,0.0,1.4558791145078375e-08,133.0,0.07124590883031487
15,0.0,509eece8,0.0,False,True,0.3687712550163269,0.0,0.0027727162031302775,133.0,0.05280744289545965
16,0.0,bbfea9aa,0.0,False,True,0.0009844982996582985,0.0,7.402242854573673e-06,133.0,0.07119678073129307
17,0.0,00e759b3,0.0,False,True,0.017910070717334747,0.0,0.00013466218584462215,133.0,0.07035050211040925
18,0.0,a44f95c2,0.0,False,True,0.0004545833799056709,0.0,3.4179201496666984e-06,133.0,0.0712232764772807
19,0.0,c79106c3,0.0,False,True,0.037120334804058075,0.0,0.00027910026168464716,133.0,0.06938998890607309
20,0.0,c92d0ced,0.0,False,True,0.0004696625401265919,0.0,3.5312972941849015e-06,133.0,0.07122252251926967
21,0.0,68d59566,0.0,False,True,0.00764599721878767,0.0,5.748870089314038e-05,133.0,0.07122252251926967
22,0.0,717f085c,0.0,False,True,0.13140465319156647,0.0,0.0009880049112147855,133.0,0.07122252251926967
23,0.0,a1ca169b,0.0,False,True,0.086823008954525,0.0,0.0006528045786054511,133.0,0.07122252251926967
24,0.0,77d2d457,0.0,False,True,0.434574156999588,0.0,0.0032674748646585564,133.0,0.07122252251926967
25,0.0,28224273,0.0,False,True,0.4110308289527893,0.0,0.0030904573605472882,133.0,0.07122252251926967
26,0.0,d0a54ee0,0.0,False,True,0.0017926192376762629,0.0,1.3478340132904232e-05,133.0,0.07122252251926967
27,0.0,cdfb954f,0.0,False,True,0.006928467191755772,0.0,5.209373828387798e-05,133.0,0.07122252251926967
28,0.0,0e1f745a,0.0,False,True,0.15489497780799866,0.0,0.001164623893293223,133.0,0.07122252251926967
29,0.0,d5826bcd,0.0,False,True,0.04211310297250748,0.0,0.0003166398719737404,133.0,0.07122252251926967
30,0.0,02237e77,0.0,False,True,0.010511765256524086,0.0,7.90358289964217e-05,133.0,0.07122252251926967
31,0.0,8f7628d7,0.0,False,True,0.011515477672219276,0.0,8.658253888886674e-05,133.0,0.07122252251926967
32,0.0,309d22b9,0.0,False,True,0.01744065061211586,0.0,0.00013113271136929217,133.0,0.07122252251926967
33,0.0,41fb321a,0.0,False,True,0.1075596958398819,0.0,0.0008087195175930969,133.0,0.07122252251926967
34,0.0,0daec640,0.0,False,True,0.18016815185546875,0.0,0.0013546477583117951,133.0,0.07122252251926967
35,0.0,ae0cd7f9,0.0,False,True,0.1013815775513649,0.0,0.0007622675003862023,133.0,0.07122252251926967
36,0.0,244f8117,0.0,False,True,0.024796783924102783,0.0,0.00018644198439175024,133.0,0.07122252251926967
37,0.0,cc5fac62,0.0,False,True,0.07403918355703354,0.0,0.0005566855906543875,133.0,0.07122252251926967
38,0.0,020f5eaa,0.0,False,True,0.0073729874566197395,0.0,5.543599591443413e-05,133.0,0.07122252251926967
39,0.0,ed3f900a,0.0,False,True,0.01264461874961853,0.0,9.507232142570323e-05,133.0,0.07122252251926967
40,0.0,58835983,0.0,False,True,0.27211636304855347,0.0,0.002045987692094387,133.0,0.07122252251926967
41,0.0,a783bdb3,0.0,False,True,0.08313547819852829,0.0,0.0006250787834475812,133.0,0.07122252251926967
42,0.0,76bf0e79,0.0,False,True,0.07938769459724426,0.0,0.0005968999593777765,133.0,0.07122252251926967
43,0.0,aada72d9,0.0,False,True,0.027218841016292572,0.0,0.0002046529399721246,133.0,0.07122252251926967
44,0.0,a1ca4187,0.0,False,True,0.005356376525014639,0.0,4.0273507706876986e-05,133.0,0.07122252251926967
45,0.0,5a3d8224,0.0,False,True,0.09991143643856049,0.0,0.0007512138078087254,133.0,0.07122252251926967
46,0.0,328e68bd,0.0,False,True,0.012822524644434452,0.0,9.640995973258986e-05,133.0,0.07122252251926967
